# ra, dec
0.002375, 5.941903
0.003174, 5.262736
0.004052, 4.829781
0.005300, -2.033275
0.005760, -1.325018
0.006480, -0.559076
0.006782, 0.583213
0.008050, -0.240977
0.008146, 5.352436
0.009139, -2.329783
0.010431, 2.305254
0.013181, 1.252964
0.013254, 5.139552
0.013337, 1.504967
0.013627, 0.192456
0.014728, 2.060987
0.014977, 3.905255
0.015234, 4.248977
0.015956, 6.179788
0.016154, 3.748897
0.019223, 3.856231
0.019959, -0.909597
0.020223, 6.301045
0.020717, -0.278334
0.020933, -0.641413
0.021387, 8.627813
0.022563, 0.443903
0.022944, -1.457518
0.022970, -5.504712
0.024077, -4.335323
0.025065, -3.892811
0.025623, -0.502690
0.026267, 3.192470
0.026617, -6.901368
0.026775, 0.868420
0.027208, 0.515337
0.028252, 6.417215
0.029414, 6.059398
0.029956, 0.314749
0.030928, 6.730732
0.031583, 0.495344
0.031676, 2.960785
0.032359, -1.205234
0.032906, 1.970296
0.033476, -0.457640
0.033722, 1.881113
0.033918, 0.276295
0.033994, 7.978149
0.038606, -4.828794
0.038657, 2.106112
0.040015, 5.476349
0.040261, 5.834313
0.040528, 1.687633
0.040541, 1.227679
0.041281, 0.468484
0.042768, 5.796909
0.043416, -2.794382
0.044475, -2.465327
0.044805, -5.722223
0.045749, 0.948154
0.046513, -1.742820
0.047853, 3.486379
0.048041, 6.138656
0.048228, 3.529590
0.049837, 0.040358
0.050211, -2.003903
0.050723, 4.082837
0.050723, -3.009965
0.051078, -0.539037
0.051175, -1.068212
0.051690, 0.742779
0.051983, -1.381113
0.052493, -1.704643
0.052616, -4.712534
0.053832, 8.491147
0.054310, 4.734323
0.054443, 1.561254
0.056823, -2.172074
0.057528, -0.913008
0.057759, 6.847930
0.058654, 1.497664
0.059454, 5.817461
0.061395, -0.327426
0.061438, 0.534241
0.061763, -1.175193
0.062662, 6.749398
0.063221, 0.809245
0.063305, -0.385760
0.063768, 6.176634
0.063924, 3.803454
0.064505, 0.879700
0.065684, -0.695828
0.066054, -0.994898
0.066960, -1.077526
0.067839, 4.016795
0.068474, -0.309276
0.068721, 2.454214
0.068930, 5.184513
0.069443, 0.089627
0.070291, -3.701164
0.070390, 5.479418
0.071176, 3.138435
0.073699, -6.474615
0.073923, 2.007751
0.074294, 2.285112
0.074475, -1.860882
0.074518, 0.436841
0.074881, 0.407487
0.075536, 1.610323
0.075648, -5.500386
0.075706, 5.304032
0.075772, 5.134349
0.076434, 3.951014
0.077040, -4.448282
0.077682, 3.548379
0.078597, 2.580842
0.078849, 4.813404
0.080155, 8.516298
0.080616, 6.902083
0.081633, 1.251352
0.081693, 0.746670
0.082288, 6.333474
0.082937, -1.593879
0.082965, 1.543641
0.083535, 0.335570
0.084439, -5.502811
0.085021, 5.672168
0.085228, -0.844553
0.085249, 1.467773
0.085427, 0.451110
0.085798, 3.399196
0.087290, -5.234708
0.087772, 1.333806
0.087968, -2.593372
0.088071, 3.065866
0.088749, 5.487421
0.089478, 6.371029
0.090713, 0.235047
0.091750, 7.287593
0.091904, 1.295162
0.092244, 4.126366
0.092538, 5.531100
0.092838, -4.171894
0.093018, 6.827565
0.095583, -2.454577
0.095728, -0.664988
0.095844, 4.009548
0.096951, -0.569415
0.096994, 5.294592
0.097058, 1.750519
0.097581, 3.443032
0.098303, 0.666190
0.098994, 5.322685
0.102444, 1.639916
0.102944, 5.973508
0.105084, 5.771808
0.105499, -1.553845
0.108944, 2.464898
0.109474, 2.361353
0.109669, 6.266202
0.110297, 2.233126
0.111036, 2.099700
0.111092, -0.196548
0.111302, 1.079356
0.111331, -5.059663
0.111499, 2.153257
0.112340, 0.334665
0.112583, 3.120976
0.113020, -1.012627
0.113310, -0.115213
0.113731, 7.389958
0.113792, -1.957716
0.113818, 1.523917
0.114707, 8.720148
0.118765, 5.523721
0.119368, 3.062271
0.121781, 5.820189
0.121817, 1.856333
0.122215, 0.336258
0.124862, -0.424319
0.124939, 0.812602
0.125216, 2.384897
0.125237, 2.946804
0.125997, 4.402470
0.126022, 4.938486
